id,name,details,year,info;
1,Fiat 500e,Fiat 500e BEV,2016,https://www.youtube.com/watch?v=ROu8T_ehdLA;
2,Chevrolet Spark,Chevrolet Spark BEV,NA,https://www.youtube.com/watch?v=X2OSquIBhk0;
3,Hyundai IONIQ 5,Hyundai IONIQ 5 58 kWh BEV,2022,https://youtu.be/aExLMUK1Spo; https://www.youtube.com/watch?v=5PASNQU5RSw
4,BMW 530e,BMW 530e PHEV,NA,https://www.youtube.com/watch?v=r9hr3JW_2F8;
5,Chevrolet Volt,Chevrolet Volt PHEV,NA,https://youtu.be/cjyenyqgwkA;
6,Volvo EX30,Volvo EX30 53 kWh BEV,2024,;
7,BMW 330e,BMW F30 330e PHEV,2016,https://www.youtube.com/watch?v=WBw7fwwnNGw;
8,MG ZS,MG ZS BEV,2019,https://www.youtube.com/watch?v=UrRhsSjvvFw;
9,Mitsubishi Outlander,Mitsubishi Outlander PHEV,2018,https://youtu.be/Gf9fDbwF1K0; https://www.youtube.com/watch?v=lB3kqipdtPQ
10,BMW i3,BMW i3 60 Ah BEV,2014,https://www.youtube.com/watch?v=LB6WI8cRzgs;
