id,fixation_id,part_id,skill_id,next_op_id
1000,1000,,unscrew,1001
1001,1001,,unscrew,1002
1002,1002,,unscrew,1003
1003,1003,,unscrew,1004
1004,1004,,unscrew,1005
1005,1005,,unscrew,1006
1006,1006,,unscrew,1007
1007,1007,,unscrew,1008
1008,1008,,unscrew,1009
1009,1009,,unscrew,1010
1010,1010,,unscrew,1011
1011,1011,,unscrew,1012
1012,1012,,unscrew,1013
1013,1013,,unscrew,1014
1014,1014,,unscrew,1015
1015,1015,,unscrew,1016
1016,1016,,unscrew,1017
1017,1017,,unscrew,1018
1018,1018,,unscrew,1019
1019,1019,,unscrew,1020
1020,1020,,unscrew,1021
1021,1021,,unscrew,1022
1022,1022,,unscrew,1023
1023,1023,,unscrew,1024
1024,1024,,unscrew,1025
1025,1025,,unscrew,1026
1026,1026,,unscrew,1027
1027,1027,,unscrew,1028
1028,1028,,unscrew,1029
1029,1029,,unscrew,1030
1030,1030,,unscrew,1031
1031,1031,,unscrew,1032
1032,1032,,unscrew,1033
1033,1033,,unscrew,1034
1034,1034,,unscrew,1035
1035,1035,,unscrew,1036
1036,1036,,unscrew,1037
1037,1037,,unscrew,1038
1038,1038,,unscrew,1039
1039,1039,,unscrew,1040
1040,1040,,unscrew,1041
1041,1041,,unscrew,1042
1042,1042,,unscrew,1043
1043,1043,,unscrew,1044
1044,1044,,unscrew,1045
1045,1045,,unscrew,1046
1046,1046,,unscrew,1047
1047,1047,,unscrew,1048
1048,1048,,unscrew,1049
1049,1049,,unscrew,1050
1050,1050,,unscrew,1051
1051,1051,,unscrew,1052
1052,1052,,unscrew,1053
1053,1053,,unscrew,1054
1054,1054,,unscrew,1055
1055,1055,,unscrew,1056
1056,1056,,unscrew,1057
1057,1057,,unscrew,1058
1058,1058,,unscrew,1059
1059,1059,,unscrew,1060
1060,1060,,unscrew,1061
1061,1061,,unscrew,1062
1062,1062,,unscrew,1063
1063,1063,,unscrew,1064
1064,1064,,unscrew,1065
1065,1065,,unscrew,1066
1066,1066,,unscrew,1067
1067,1067,,unscrew,1068
1068,1068,,unscrew,1069
1069,1069,,unscrew,1070
1070,1070,,unscrew,1071
1071,,1000,lift_off,1072
1072,1071,,unscrew,1073
1073,1072,,unscrew,1074
1074,,1031,lift_off,1075
1075,1073,,unscrew,1076
1076,1074,,unscrew,1077
1077,1075,,unscrew,1078
1078,1076,,unscrew,1079
1079,,1002,lift_off,1080
1080,1077,,unplug,1081
1081,1078,,unplug,1082
1082,,1032,lift_off,1083
1083,1079,,unplug,1084
1084,1080,,unplug,1085
1085,,1033,lift_off,1086
1086,,1034,lift_off,1087
1087,1081,,unplug,1088
1088,1082,,unplug,1089
1089,1083,,unplug,1090
1090,1084,,unplug,1091
1091,1085,,unplug,1092
1092,,1003,lift_off,1093
1093,1086,,unplug,1094
1094,1087,,unplug,1095
1095,1088,,unplug,1096
1096,1089,,unplug,1097
1097,1090,,unplug,1098
1098,,1004,lift_off,1099
1099,1091,,unplug,1100
1100,1092,,unplug,1101
1101,1093,,unplug,1102
1102,1094,,unplug,1103
1103,1095,,unplug,1104
1104,,1005,lift_off,1105
1105,1096,,unplug,1106
1106,1097,,unplug,1107
1107,1098,,unplug,1108
1108,1099,,unplug,1109
1109,1100,,unplug,1110
1110,,1006,lift_off,1111
1111,1101,,unplug,1112
1112,1102,,unplug,1113
1113,,1036,lift_off,1114
1114,1103,,unplug,1115
1115,1104,,unplug,1116
1116,1105,,unplug,1117
1117,1106,,unplug,1118
1118,,1037,lift_off,1119
1119,1107,,unplug,1120
1120,1108,,unplug,1121
1121,1109,,unplug,1122
1122,1110,,unplug,1123
1123,1111,,unplug,1124
1124,1112,,unplug,1125
1125,1113,,unplug,1126
1126,1114,,unplug,1127
1127,,1038,lift_off,1128
1128,,1042,lift_off,1129
1129,,1043,lift_off,1130
1130,,1044,lift_off,1131
1131,,1045,lift_off,1132
1132,,1046,lift_off,1133
1133,,1047,lift_off,1134
1134,,1048,lift_off,1135
1135,,1049,lift_off,1136
1136,,1050,lift_off,1137
1137,,1051,lift_off,1138
1138,,1052,lift_off,1139
1139,,1053,lift_off,1140
1140,,1054,lift_off,1141
1141,,1055,lift_off,1142
1142,,1056,lift_off,1143
1143,,1063,lift_off,1144
1144,,1064,lift_off,1145
1145,,1069,lift_off,1146
1146,,1070,lift_off,1147
1147,,1077,lift_off,1148
1148,1115,,unscrew,1149
1149,1116,,unscrew,1150
1150,,1078,lift_off,1151
1151,1117,,unscrew,1152
1152,1118,,unscrew,1153
1153,,1079,lift_off,1154
1154,1119,,unscrew,1155
1155,1120,,unscrew,1156
1156,,1080,lift_off,1157
1157,1121,,unscrew,1158
1158,1122,,unscrew,1159
1159,,1081,lift_off,1160
1160,1123,,unscrew,1161
1161,1124,,unscrew,1162
1162,,1082,lift_off,1163
1163,1125,,unscrew,1164
1164,1126,,unscrew,1165
1165,,1083,lift_off,1166
1166,1127,,unscrew,1167
1167,1128,,unscrew,1168
1168,,1084,lift_off,1169
1169,1129,,unscrew,1170
1170,1130,,unscrew,1171
1171,,1085,lift_off,1172
1172,1131,,unscrew,1173
1173,1132,,unscrew,1174
1174,,1086,lift_off,1175
1175,1133,,unscrew,1176
1176,1134,,unscrew,1177
1177,1135,,unscrew,1178
1178,1136,,unscrew,1179
1179,,1012,lift_off,1180
1180,1137,,unscrew,1181
1181,1138,,unscrew,1182
1182,1139,,unscrew,1183
1183,1140,,unscrew,1184
1184,,1013,lift_off,1185
1185,1141,,unscrew,1186
1186,1142,,unscrew,1187
1187,1143,,unscrew,1188
1188,1144,,unscrew,1189
1189,,1014,lift_off,1190
1190,1145,,unscrew,1191
1191,1146,,unscrew,1192
1192,1147,,unscrew,1193
1193,1148,,unscrew,1194
1194,,1015,lift_off,1195
1195,1149,,unscrew,1196
1196,1150,,unscrew,1197
1197,1151,,unscrew,1198
1198,1152,,unscrew,1199
1199,,1016,lift_off,1200
1200,1153,,unscrew,1201
1201,1154,,unscrew,1202
1202,1155,,unscrew,1203
1203,1156,,unscrew,1204
1204,,1017,lift_off,1205
1205,1157,,unscrew,1206
1206,1158,,unscrew,1207
1207,1159,,unscrew,1208
1208,1160,,unscrew,1209
1209,,1018,lift_off,1210
1210,1161,,unscrew,1211
1211,1163,,unscrew,1212
1212,1165,,unscrew,1213
1213,1166,,unscrew,1214
1214,1167,,unscrew,1215
1215,1168,,unscrew,1216
1216,,1035,lift_off,1217
1217,1169,,unplug,1218
1218,1170,,unplug,1219
1219,1171,,unplug,1220
1220,,1007,lift_off,1221
1221,1172,,unplug,1222
1222,1173,,unplug,1223
1223,1174,,unplug,1224
1224,,1008,lift_off,1225
1225,1175,,unplug,1226
1226,1176,,unplug,1227
1227,1177,,unplug,1228
1228,,1009,lift_off,1229
1229,1178,,unplug,1230
1230,1179,,unplug,1231
1231,1180,,unplug,1232
1232,,1010,lift_off,1233
1233,1181,,unplug,1234
1234,1182,,unplug,1235
1235,1183,,unplug,1236
1236,,1011,lift_off,1237
1237,1184,,unplug,1238
1238,1185,,unplug,1239
1239,1186,,unplug,1240
1240,1187,,unplug,1241
1241,,1039,lift_off,1242
1242,1188,,unplug,1243
1243,1189,,unplug,1244
1244,1190,,unplug,1245
1245,1191,,unplug,1246
1246,1192,,unplug,1247
1247,,1040,lift_off,1248
1248,1193,,unscrew,1249
1249,1194,,unscrew,1250
1250,1195,,unscrew,1251
1251,1196,,unscrew,1252
1252,1197,,unscrew,1253
1253,1198,,unscrew,1254
1254,1199,,unscrew,1255
1255,1200,,unscrew,1256
1256,1201,,unscrew,1257
1257,1202,,unscrew,1258
1258,1203,,unscrew,1259
1259,1204,,unscrew,1260
1260,1205,,unscrew,1261
1261,1206,,unscrew,1262
1262,1207,,unscrew,1263
1263,1208,,unscrew,1264
1264,1209,,unscrew,1265
1265,1210,,unscrew,1266
1266,1211,,unscrew,1267
1267,1212,,unscrew,1268
1268,1213,,unscrew,1269
1269,1214,,unscrew,1270
1270,,1059,lift_off,1271
1271,,1060,lift_off,1272
1272,,1067,lift_off,1273
1273,,1068,lift_off,1274
1274,1215,,unscrew,1275
1275,1216,,unscrew,1276
1276,,1088,lift_off,1277
1277,1217,,unscrew,1278
1278,1218,,unscrew,1279
1279,,1089,lift_off,1280
1280,1219,,unscrew,1281
1281,1220,,unscrew,1282
1282,,1094,lift_off,1283
1283,,1057,lift_off,1284
1284,,1058,lift_off,1285
1285,,1061,lift_off,1286
1286,,1062,lift_off,1287
1287,,1065,lift_off,1288
1288,,1066,lift_off,1289
1289,1221,,unscrew,1290
1290,1222,,unscrew,1291
1291,,1087,lift_off,1292
1292,1223,,unscrew,1293
1293,1224,,unscrew,1294
1294,,1090,lift_off,1295
1295,1225,,unscrew,1296
1296,1226,,unscrew,1297
1297,,1092,lift_off,1298
1298,1227,,unscrew,1299
1299,1228,,unscrew,1300
1300,,1019,lift_off,1301
1301,1229,,unscrew,1302
1302,1230,,unscrew,1303
1303,1231,,unscrew,1304
1304,1232,,unscrew,1305
1305,,1020,lift_off,1306
1306,1233,,unscrew,1307
1307,1234,,unscrew,1308
1308,1235,,unscrew,1309
1309,1236,,unscrew,1310
1310,,1021,lift_off,1311
1311,1237,,unscrew,1312
1312,1238,,unscrew,1313
1313,,1022,lift_off,1314
1314,1239,,unscrew,1315
1315,1240,,unscrew,1316
1316,1241,,unscrew,1317
1317,1242,,unscrew,1318
1318,,1023,lift_off,1319
1319,1243,,unscrew,1320
1320,1244,,unscrew,1321
1321,1245,,unscrew,1322
1322,1246,,unscrew,1323
1323,,1024,lift_off,1324
1324,1247,,unscrew,1325
1325,1248,,unscrew,1326
1326,1249,,unscrew,1327
1327,1250,,unscrew,1328
1328,,1025,lift_off,1329
