id,class,part_no,details,battery_id,visible_parts
1000,housing cover,,,1,housing cover
1001,housing bottom,,,1,housing bottom+disconnect unit+module frame+module frame
1002,BMS,,,1,vent tubing+insulation cap+insulation cap+busbar+insulation cap+busbar+busbar+vent tubing+busbar+BMS module+insulation cap+insulation cap+busbar+busbar+insulation cap+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+disconnect unit cover+insulation cap+insulation cap+insulation cap+vent tubing+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+insulation cap+insulation cap+LV cable+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+LV cable+busbar+BMS module+module+module+module+module+service disconnect+module+module+BMS+module+module+module+module+wire harness+module+module+module+module+module+module+module+module
1003,BMS module,1,,1,vent tubing+insulation cap+insulation cap+busbar+insulation cap+busbar+busbar+vent tubing+busbar+BMS module+insulation cap+insulation cap+busbar+busbar+insulation cap+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+vent tubing+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+module+module+module+module+module+module+module+module+disconnect unit
1004,BMS module,2,,1,vent tubing+insulation cap+insulation cap+busbar+insulation cap+busbar+busbar+vent tubing+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+vent tubing+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+module+module+module+module+module+module+module+module+disconnect unit
1005,BMS module,3,,1,vent tubing+insulation cap+insulation cap+busbar+insulation cap+busbar+busbar+vent tubing+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+vent tubing+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+module+module+module+module+module+module+module+module+disconnect unit
1006,BMS module,4,,1,vent tubing+insulation cap+insulation cap+busbar+insulation cap+busbar+busbar+vent tubing+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+busbar+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+insulation cap+vent tubing+busbar+busbar+busbar+insulation cap+insulation cap+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+busbar+busbar+BMS module+module+module+module+module+service disconnect+module+module+module+module+module+module+module+module+module+module+module+module+module+module+disconnect unit
1007,BMS module,5,,1,disconnect unit+module+module+module+wire harness+module+module+module+module+module+module+module+module+busbar+busbar+busbar+busbar+busbar+busbar+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+BMS module
1008,BMS module,6,,1,busbar+busbar+busbar+busbar+busbar+busbar+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+BMS module+disconnect unit+module+module+module+wire harness+module+module+module+module+module+module+module+module
1009,BMS module,7,,1,busbar+busbar+busbar+busbar+busbar+busbar+insulation cap+busbar+busbar+insulation cap+insulation cap+insulation cap+vent tubing+insulation cap+busbar+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+insulation cap+vent tubing+insulation cap+insulation cap+insulation cap+insulation cap+BMS module+BMS module+disconnect unit+module+module+module+wire harness+module+module+module+module+module+module+module+module
